tempid,latitude,longitude
1,-2.613167,51.479491
1,-2.611600,51.478723
1,-2.611539,51.478669
1,-2.611476,51.478612
1,-2.611407,51.478557
1,-2.608711,51.477478
1,-2.608684,51.477485
1,-2.608633,51.477511
1,-2.608595,51.477546
1,-2.608053,51.477908
1,-2.607810,51.478115
1,-2.607787,51.478149
1,-2.607770,51.478172
1,-2.607750,51.478194
1,-2.607740,51.478201
1,-2.607736,51.478206
1,-2.607724,51.478233
1,-2.607723,51.478235
1,-2.607722,51.478236
1,-2.607722,51.478237
1,-2.607722,51.478237
1,-2.607722,51.478238
1,-2.607722,51.478238
1,-2.607722,51.478238
1,-2.607722,51.478238
1,-2.607722,51.478238
1,-2.607722,51.478239
1,-2.607722,51.478239
1,-2.607722,51.478239
1,-2.607721,51.478239
1,-2.607721,51.478239
1,-2.607721,51.478239
1,-2.607721,51.478239
1,-2.607721,51.478240
1,-2.607721,51.478240
1,-2.607721,51.478240
1,-2.607721,51.478240
1,-2.607721,51.478240
1,-2.607721,51.478240
1,-2.607721,51.478240
1,-2.607721,51.478240
1,-2.607721,51.478241
1,-2.605682,51.477892
1,-2.602290,51.475948
1,-2.601317,51.475633
1,-2.601211,51.475584
1,-2.601116,51.475530
1,-2.601042,51.475476
1,-2.600959,51.475414
1,-2.600668,51.475201
1,-2.600051,51.474708
1,-2.598544,51.473578
1,-2.596227,51.471772
1,-2.596156,51.471701
1,-2.595879,51.471491
1,-2.595796,51.471430
1,-2.595710,51.471368
1,-2.595360,51.471106
1,-2.595290,51.471061
1,-2.595215,51.471013
1,-2.595160,51.470972
1,-2.595113,51.470941
1,-2.595074,51.470921
1,-2.595046,51.470906
1,-2.595030,51.470903
1,-2.595026,51.470898
1,-2.595022,51.470894
1,-2.595027,51.470891
1,-2.594987,51.470862
1,-2.594750,51.470673
1,-2.594739,51.470666
1,-2.594732,51.470660
1,-2.594704,51.470634
1,-2.594691,51.470627
1,-2.594686,51.470624
1,-2.594683,51.470622
1,-2.594682,51.470622
1,-2.594682,51.470621
1,-2.594679,51.470619
1,-2.593702,51.470141
1,-2.593559,51.469721
1,-2.593521,51.469662
1,-2.593456,51.469562
1,-2.593429,51.469527
1,-2.593377,51.469501
1,-2.593362,51.469496
1,-2.593351,51.469490
1,-2.593350,51.469486
1,-2.592131,51.468325
1,-2.592060,51.468268
1,-2.592005,51.468222
1,-2.591029,51.466747
1,-2.590805,51.466305
1,-2.589772,51.464383
1,-2.589565,51.464303
1,-2.588007,51.464678
1,-2.584164,51.465335
1,-2.584041,51.465340
1,-2.583909,51.465343
1,-2.583635,51.465369
1,-2.583524,51.465381
1,-2.583446,51.465394
1,-2.583365,51.465400
1,-2.583266,51.465398
1,-2.582508,51.465508
1,-2.509823,51.493111
1,-2.509821,51.493067
1,-2.510810,51.490315
1,-2.511119,51.489572
1,-2.511169,51.489485
1,-2.512281,51.488534
1,-2.512317,51.488493
1,-2.512356,51.488466
1,-2.512374,51.488458
1,-2.512360,51.488441
1,-2.512384,51.488404
1,-2.512424,51.488381
1,-2.512458,51.488360
1,-2.512490,51.488337
1,-2.512515,51.488320
1,-2.512535,51.488301
1,-2.512544,51.488278
1,-2.512534,51.488253
1,-2.512506,51.488232
1,-2.512463,51.488211
1,-2.512403,51.488187
1,-2.511839,51.487953
1,-2.511477,51.486805
1,-2.511477,51.486805
1,-2.511957,51.488039
1,-2.512036,51.488066
1,-2.512131,51.488091
1,-2.511787,51.488908
1,-2.510060,51.492290
1,-2.510052,51.492366
1,-2.510048,51.492427
1,-2.510061,51.492482
1,-2.510054,51.492521
1,-2.510039,51.492551
1,-2.510025,51.492571
1,-2.510024,51.492581
1,-2.509184,51.495198
1,-2.508796,51.496877
1,-2.508790,51.496988
1,-2.509083,51.498213
1,-2.509394,51.499050
1,-2.509450,51.499149
1,-2.509488,51.499255
1,-2.509709,51.499799
1,-2.509760,51.499902
1,-2.509806,51.500002
1,-2.509847,51.500097
1,-2.509895,51.500197
1,-2.510128,51.501011
1,-2.510148,51.501110
1,-2.510179,51.501198
1,-2.510220,51.501287
1,-2.510264,51.501367
1,-2.517605,51.503475
1,-2.518159,51.503569
1,-2.518426,51.503608
1,-2.518988,51.503694
1,-2.519246,51.503724
1,-2.519523,51.503757
1,-2.519771,51.503796
1,-2.520028,51.503839
1,-2.522645,51.504241
1,-2.522902,51.504288
1,-2.525874,51.504734
1,-2.525954,51.504740
1,-2.526001,51.504740
1,-2.526005,51.504737
1,-2.526034,51.504736
1,-2.527992,51.503214
1,-2.528415,51.502668
1,-2.528866,51.502110
1,-2.531508,51.499053
1,-2.539334,51.493574
1,-2.548684,51.489231
1,-2.548999,51.489085
1,-2.549924,51.488656
1,-2.550228,51.488516
1,-2.558830,51.483722
1,-2.559004,51.483521
1,-2.559179,51.483318
1,-2.559323,51.483116
1,-2.559473,51.482919
1,-2.559612,51.482711
1,-2.559728,51.482504
1,-2.559835,51.482302
1,-2.590609,51.465829
1,-2.590743,51.465910
1,-2.590760,51.466035
1,-2.590805,51.466151
1,-2.590865,51.466258
1,-2.590913,51.466371
1,-2.590999,51.466484
1,-2.591057,51.466597
1,-2.593011,51.468861
1,-2.593438,51.469326
1,-2.593490,51.469406
1,-2.593523,51.469466
1,-2.593544,51.469504
1,-2.593555,51.469518
1,-2.593562,51.469539
1,-2.595621,51.471348
1,-2.606984,51.478441
1,-2.606987,51.478433
1,-2.606987,51.478423
1,-2.607187,51.478435
1,-2.611524,51.479108
1,-2.611688,51.479126
1,-2.611789,51.479152
1,-2.613167,51.479491
2,-2.613167,51.479491
2,-2.612971,51.479392
2,-2.612374,51.479536
2,-2.612303,51.479557
2,-2.612195,51.479575
2,-2.612041,51.479554
2,-2.612033,51.479514
2,-2.612021,51.479484
2,-2.612012,51.479461
2,-2.612007,51.479437
2,-2.611999,51.479419
2,-2.611986,51.479402
2,-2.611973,51.479389
2,-2.611961,51.479375
2,-2.611950,51.479360
2,-2.611937,51.479347
2,-2.611925,51.479333
2,-2.611910,51.479321
2,-2.611898,51.479309
2,-2.611881,51.479299
2,-2.611871,51.479287
2,-2.611862,51.479276
2,-2.611862,51.479275
2,-2.611857,51.479265
2,-2.611853,51.479257
2,-2.611848,51.479251
2,-2.611700,51.478992
2,-2.611660,51.478935
2,-2.611613,51.478888
2,-2.611572,51.478827
2,-2.611527,51.478771
2,-2.608956,51.477713
2,-2.608262,51.477840
2,-2.607914,51.478064
2,-2.607850,51.478080
2,-2.607830,51.478078
2,-2.607936,51.478064
2,-2.607872,51.478066
2,-2.607811,51.478073
2,-2.607761,51.478070
2,-2.607744,51.478069
2,-2.607507,51.477949
2,-2.596872,51.472350
2,-2.596856,51.472335
2,-2.596822,51.472293
2,-2.596744,51.472208
2,-2.596053,51.471797
2,-2.595975,51.471710
2,-2.595905,51.471627
2,-2.595832,51.471543
2,-2.595745,51.471464
2,-2.595653,51.471381
2,-2.595552,51.471305
2,-2.595459,51.471233
2,-2.595367,51.471161
2,-2.595281,51.471098
2,-2.595195,51.471027
2,-2.595101,51.470958
2,-2.595012,51.470892
2,-2.594929,51.470828
2,-2.594854,51.470767
2,-2.594781,51.470715
2,-2.594711,51.470672
2,-2.594651,51.470621
2,-2.594597,51.470579
2,-2.594563,51.470549
2,-2.594546,51.470531
2,-2.594525,51.470517
2,-2.594521,51.470513
2,-2.594524,51.470510
2,-2.594529,51.470489
2,-2.594249,51.470324
2,-2.594255,51.470324
2,-2.591871,51.468935
2,-2.591254,51.468575
2,-2.590955,51.468464
2,-2.590596,51.468404
2,-2.590556,51.468386
2,-2.590219,51.468336
2,-2.590464,51.468310
2,-2.590478,51.468344
2,-2.590439,51.468342
2,-2.590425,51.468338
2,-2.590411,51.468332
2,-2.590411,51.468332
2,-2.590394,51.468322
2,-2.590374,51.468310
2,-2.590363,51.468302
2,-2.590352,51.468293
2,-2.590341,51.468282
2,-2.590329,51.468270
2,-2.590172,51.468074
2,-2.590279,51.468207
2,-2.590465,51.468291
2,-2.591556,51.468513
2,-2.591633,51.468531
2,-2.591634,51.468531
2,-2.591635,51.468531
2,-2.591796,51.468566
2,-2.592587,51.468732
2,-2.592602,51.468728
2,-2.592599,51.468732
2,-2.592569,51.468703
2,-2.592590,51.468588
2,-2.590265,51.465600
2,-2.590028,51.465304
2,-2.589979,51.465217
2,-2.589933,51.465123
